page,slot,image,max_confidence
1,1,./images/train/IMG0001770.jpg,0.8364500403404236
1,2,./images/train/IMG0004290.jpg,0.8125646710395813
1,3,./images/train/IMG0002219.jpg,0.7888203263282776
1,4,./images/train/IMG0003205.jpg,0.7849147319793701
1,5,./images/train/IMG0004121.jpg,0.7810179591178894
1,6,./images/train/IMG0000761.jpg,0.7772871255874634
2,1,./images/train/IMG0002276.jpg,0.7581242322921753
2,2,./images/train/IMG0001517.jpg,0.7500119209289551
2,3,./images/train/IMG0000020.jpg,0.7424423098564148
2,4,./images/train/IMG0001389.jpg,0.7342087030410767
2,5,./images/train/IMG0004174.jpg,0.7195568084716797
2,6,./images/train/IMG0003348.jpg,0.7175127863883972
3,1,./images/train/IMG0001207.jpg,0.6938009858131409
3,2,./images/train/IMG0001371.jpg,0.6748021841049194
3,3,./images/train/IMG0002242.jpg,0.6722221970558167
3,4,./images/train/IMG0001769.jpg,0.6617019772529602
3,5,./images/train/IMG0000282.jpg,0.6561946272850037
3,6,./images/train/IMG0003296.jpg,0.6350392699241638
4,1,./images/train/IMG0001947.jpg,0.6178773641586304
4,2,./images/train/IMG0000068.jpg,0.6142862439155579
4,3,./images/train/IMG0003814.jpg,0.6096068024635315
4,4,./images/train/IMG0004243.jpg,0.5926690697669983
4,5,./images/train/IMG0004314.jpg,0.5728173851966858
4,6,./images/train/IMG0000520.jpg,0.5600095987319946
5,1,./images/train/IMG0000123.jpg,0.5593040585517883
5,2,./images/train/IMG0000545.jpg,0.5454916954040527
5,3,./images/train/IMG0004286.jpg,0.5285528898239136
5,4,./images/train/IMG0000611.jpg,0.5157316327095032
5,5,./images/train/IMG0001872.jpg,0.5132522583007812
5,6,./images/train/IMG0002786.jpg,0.5066509246826172
