image,max_confidence,detections_ge_005,detections_ge_010,detections_ge_025,detections_ge_050
images/train/IMG0001575.jpg,0.831646740436554,1,1,1,1
images/train/IMG0004121.jpg,0.8020730018615723,1,1,1,1
images/train/IMG0000164.jpg,0.7755157947540283,1,1,1,1
images/train/IMG0002219.jpg,0.7328628301620483,3,3,3,1
images/train/IMG0001979.jpg,0.7219226360321045,2,1,1,1
images/train/IMG0004314.jpg,0.7061639428138733,3,2,1,1
images/train/IMG0004243.jpg,0.688843846321106,1,1,1,1
images/train/IMG0000320.jpg,0.6678070425987244,1,1,1,1
images/train/IMG0001721.jpg,0.6561349630355835,1,1,1,1
images/train/IMG0003328.jpg,0.6262049674987793,1,1,1,1
images/train/IMG0000620.jpg,0.5992304682731628,1,1,1,1
images/train/IMG0000229.jpg,0.5698820948600769,5,4,2,1
images/train/IMG0002102.jpg,0.5680484771728516,1,1,1,1
images/train/IMG0001688.jpg,0.5514222979545593,1,1,1,1
images/train/IMG0003076.jpg,0.5418094396591187,1,1,1,1
images/train/IMG0002884.jpg,0.5316641330718994,1,1,1,1
images/train/IMG0000625.jpg,0.5277392864227295,1,1,1,1
images/train/IMG0001131.jpg,0.5248562097549438,1,1,1,1
images/train/IMG0001001.jpg,0.5135647058486938,1,1,1,1
images/train/IMG0001651.jpg,0.5081437826156616,1,1,1,1
images/train/IMG0002822.jpg,0.505589485168457,1,1,1,1
images/train/IMG0004182.jpg,0.5006327629089355,1,1,1,1
images/train/IMG0003814.jpg,0.4943315088748932,1,1,1,0
images/train/IMG0000245.jpg,0.48669353127479553,5,4,2,0
images/train/IMG0002103.jpg,0.4783003628253937,1,1,1,0
images/train/IMG0003479.jpg,0.4774799346923828,2,2,1,0
images/train/IMG0001662.jpg,0.4736177623271942,1,1,1,0
images/train/IMG0003194.jpg,0.47230982780456543,1,1,1,0
images/train/IMG0001717.jpg,0.46888911724090576,1,1,1,0
images/train/IMG0004174.jpg,0.46699750423431396,1,1,1,0
