kept_id,removed_id,sha256,positive,label_different
IMG0000001.jpg,IMG0002295.jpg,07ab22d6a7a1b3fa1e6fccf59ee657082800d56e393dbe5285b9642e6de2c3d2,0,0
IMG0000006.jpg,IMG0002294.jpg,2b86b8befc22c0f61caa2c5bfff974269e8970bae378e2af445b3526632d7153,0,0
IMG0000000.jpg,IMG0002292.jpg,336bdca4bca61dd7243be9417ed0a44d752fffbeee6ead980e5c3b888e14311b,0,0
IMG0000261.jpg,IMG0002299.jpg,36e2dac594a5cdf991ba137d4e217ba7b9bcd38cd25ab8ca8f51c760f8726e79,1,1
IMG0000261.jpg,IMG0002300.jpg,36e2dac594a5cdf991ba137d4e217ba7b9bcd38cd25ab8ca8f51c760f8726e79,1,1
IMG0002298.jpg,IMG0002379.jpg,5c9aefedc114e5503d938ca16770aac6a7b438db3baef9b03f5408411f631753,1,1
IMG0000002.jpg,IMG0002296.jpg,760b8dd14fd52f5693432ffde907f7222307f8e34f2ce7e16184c3e8aa088606,0,0
IMG0000003.jpg,IMG0000005.jpg,839ec0916f35a711f72523458f1d95d261ea826131da201ce52bd704eba49ac8,0,0
IMG0000003.jpg,IMG0002291.jpg,839ec0916f35a711f72523458f1d95d261ea826131da201ce52bd704eba49ac8,0,0
IMG0000003.jpg,IMG0002293.jpg,839ec0916f35a711f72523458f1d95d261ea826131da201ce52bd704eba49ac8,0,0
IMG0004314.jpg,IMG0004341.jpg,9a09eb47c5b0aa331d40a3038bcdeb0536f13abe32526cd9f162d004d4564c48,0,0
IMG0000004.jpg,IMG0002297.jpg,bbab6c638a104aaae1d6cab2cb135a3d4b4be1245ba0e55af585e7e8c6724222,0,0
IMG0004308.jpg,IMG0004347.jpg,bd5323bd67721ecbe7302ffa720a214bca34c35ff71e6e13286873731b205c55,0,0
IMG0004310.jpg,IMG0004346.jpg,dff4b72d2e6e75cbd614bb5b2f388ef353f0d41b01fa0aff5d34029a4c5f7f63,0,0
IMG0001763.jpg,IMG0002615.jpg,e62067d2c3697ffde37c6380423a88383e245202b4a9111b6f6cc70d9168a88c,1,1
