image_id,split,fractured,region,objects,sha256
IMG0000003.jpg,test,0,leg,0,839ec0916f35a711f72523458f1d95d261ea826131da201ce52bd704eba49ac8
IMG0000013.jpg,test,0,leg,0,4294031464286b604a7ffe4cef9fdaa82788774d49a972e87bdcdf5ce265e4cc
IMG0000023.jpg,test,0,hand,0,982d740ace1cd775dcfaeebbaecac6008b1872094dfe6f9293e5020f111935d7
IMG0000029.jpg,test,0,leg,0,a2f3cdefd512e180e6e0f300db61fe68b9ff73e4137280f4390ff7ff9945b990
IMG0000030.jpg,test,0,hand,0,e9682d73c67d2479fdd190fe6e33fdd3a2de625ac6ce300d3660c11ed129df9a
IMG0000069.jpg,test,0,leg,0,fa657c86a419667ab850bde89fb49760fc5c7480cc94e7cd6d3e24be8f6eb5bf
IMG0000072.jpg,test,0,leg,0,d6f11c00242749082930834e8a370bc159f4c48d8c2c36824c0d7a7773959a97
IMG0000078.jpg,test,0,leg,0,872f95388ab65b78e073f95f6b0011da918a57b0e32417363e1e2dafa4abd21c
IMG0000112.jpg,test,0,hand,0,06b4cee38153d143724355a7fc21d5ee497253b576ad07d75559d2ef8e799ba1
IMG0000137.jpg,test,0,leg,0,afab47ff4c0b3486fd74dd855744a2aba2be5d9b101eade31c011e447d3d265d
IMG0000138.jpg,test,0,leg,0,43ebe7d947db19015c8bcfc2a2987764af822becd5fb7bfc1f23822faa233e8a
IMG0000167.jpg,test,0,leg+hip+mixed,0,aef0084632b8b59e240775066ed1e13897928d1700f6e62c577ded936b177a48
IMG0000169.jpg,test,0,leg+hip+mixed,0,2ce3dcbe686a6187eaed63a3adb6639ef2b70b5048c528ce17d592a9c0a7d1e2
IMG0000199.jpg,test,0,hand,0,b8b7d30f6a8101c7f2e2ae8e5be9828f1c853b57dd7f1f7b96bf2a4c9cbecc77
IMG0000218.jpg,test,0,shoulder,0,2deb5dc376cc517ef1d345cd4b877cb18459f3376ba1d6b58cba48be45ad2fd8
IMG0000224.jpg,test,0,leg,0,c94ca984374156a3b4ca727e3365fc35516fb12ed1c7b06b52a13936c228a59a
IMG0000235.jpg,test,0,hand,0,df59cd429974fa60c9301177bca567f9ae76282dc865fbff6d54b82dce3387ba
IMG0000237.jpg,test,0,hand,0,13187b74c71c46ce2a0eb54044b05f9baa9f9554c65d08b3d74c2d6a728a738d
IMG0000239.jpg,test,0,leg,0,fa51c1ed3f25c0bca09aa9c54d28e850416800ed4e81f1d10e5127861744778e
IMG0000263.jpg,test,0,hand+shoulder+mixed,0,3e647d4a89a969abe6fd5147eef3b989b6b0f3cfaf6ef6f391ceb67f17a69ced
IMG0000300.jpg,test,0,leg,0,4a7741499db8758317ba51aef48b51eae344e04a926820ac8a675be271acd682
IMG0000306.jpg,test,0,leg,0,da697f75cb3ec8a80baa77cc1f5df58ec3ac8b5e42bebf79820510a1875e0e30
IMG0000316.jpg,test,0,hip,0,4de862b385c50e2851d3bc49ce75a320ab9162a3e155915565afed03a5b6f2e3
IMG0000338.jpg,test,0,hand,0,bac7dea801491194074a6eeb9f742f58dde2ac967f94a9f943711349d5730be5
